epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,30,,,,,,,,,,,,,0.9193462133407593,0.7177117466926575,0.5607343912124634,0.18411429226398468,0.7177117466926575,0.7177117466926575
0,30,,,,,,,0.8565301895141602,0.49785587191581726,0.3709575831890106,0.20335915684700012,0.49785587191581726,0.49785587191581726,,,,,,
1,61,,,,,,,,,,,,,0.9179683923721313,0.7128891944885254,0.5548958778381348,0.16910679638385773,0.7128891944885254,0.7128891944885254
1,61,,,,,,,0.9142236709594727,0.6997822523117065,0.5393895506858826,0.21836163103580475,0.6997822523117065,0.6997822523117065,,,,,,
2,92,,,,,,,,,,,,,0.8923920392990112,0.623372495174408,0.45369184017181396,0.1539389193058014,0.623372495174408,0.623372495174408
2,92,,,,,,,0.8963998556137085,0.6373996734619141,0.4700338542461395,0.19549785554409027,0.6373996734619141,0.6373996734619141,,,,,,
3,123,,,,,,,,,,,,,0.8829197287559509,0.5902187824249268,0.41938504576683044,0.14264006912708282,0.5902187824249268,0.5902187824249268
3,123,,,,,,,0.8731454014778137,0.5560094714164734,0.3866802752017975,0.16827133297920227,0.5560094714164734,0.5560094714164734,,,,,,
4,154,,,,,,,,,,,,,0.8902992606163025,0.6160475015640259,0.44587016105651855,0.12966112792491913,0.6160475015640259,0.6160475015640259
4,154,,,,,,,0.8774839043617249,0.5711937546730042,0.4010516405105591,0.17138992249965668,0.5711937546730042,0.5711937546730042,,,,,,
5,155,0.8894620537757874,0.6131172776222229,0.44295626878738403,0.14042048156261444,0.6131172776222229,0.6131172776222229,,,,,,,,,,,,
